Name,Rating,Games,Moves,CPL,MM,Sort Score,Analysis
Santul Kosmo,2262,1,20,69,30,-39,D
Veselin Topalov,2645,1,20,53,55,2,B
Eduardas Rozentalis,2595,1,20,70,55,-15,A
Eduardas Rozentalis,2595,1,20,22,65,43,D
Mario Leon Fernandez,2064,1,20,84,45,-39,A
Mario Leon Fernandez,2064,1,20,90,45,-45,C
Mario Leon Fernandez,2064,1,20,104,40,-64,D
Juan Dalmau,2059,1,21,108,24,-84,A
Juan Dalmau,2059,1,21,93,19,-74,C
Erik Hedman,2336,1,21,112,48,-64,A
Erik Hedman,2336,1,21,117,67,-50,D
Gustavo Barrenechea Bahamonde,2191,1,21,49,57,8,B
Jose Miguel Ugalde Ezcurra,2215,1,21,40,62,22,B
Casimiro Ballina Amandi,2007,1,21,52,38,-14,B
Carlos Perez Marchal,2000,1,21,87,29,-58,A
Carlos Perez Marchal,2000,1,21,77,24,-53,C
Carlos Perez Marchal,2000,1,21,87,24,-63,D
Rikard Andersson,2175,1,22,85,36,-49,B
Ruslan Irzhanov,2430,1,22,35,59,24,A
Ruslan Irzhanov,2430,1,22,25,59,34,B
Ruslan Irzhanov,2430,1,22,23,59,36,C
Ruslan Irzhanov,2430,1,22,25,54,29,D
Julian M Hodgson,2590,1,22,42,54,12,A
Julian M Hodgson,2590,1,22,34,54,20,B
Julian M Hodgson,2590,1,22,28,46,18,C
Julian M Hodgson,2590,1,22,20,54,34,D
Jacek Gdanski,2505,1,22,46,50,4,A
Jacek Gdanski,2505,1,22,27,46,19,B
Jacek Gdanski,2505,1,22,27,54,27,C
Jacek Gdanski,2505,1,22,25,46,21,D
Yasser Seirawan,2585,1,22,34,54,20,A
Yasser Seirawan,2585,1,22,24,68,44,B
Yasser Seirawan,2585,1,22,27,68,41,C
Yasser Seirawan,2585,1,22,24,73,49,D
Peter Leko,2555,1,22,12,73,61,A
Peter Leko,2555,1,22,18,64,46,B
Peter Leko,2555,1,22,18,77,59,C
Peter Leko,2555,1,22,19,77,58,D
Viktor Korchnoi,2615,1,22,53,59,6,A
Viktor Korchnoi,2615,1,22,77,54,-23,B
Viktor Korchnoi,2615,1,22,71,64,-7,C
Viktor Korchnoi,2615,1,22,76,59,-17,D
Robert Kuczynski,2515,1,22,64,41,-23,B
Ian Rogers,2560,1,22,42,46,4,A
Ian Rogers,2560,1,22,40,41,1,C
Ian Rogers,2560,1,22,29,50,21,D
Ljubomir Ljubojevic,2580,1,22,26,64,38,B
Jonathan D Tisdall,2465,1,22,90,27,-63,A
Jonathan D Tisdall,2465,1,22,56,46,-10,B
Jonathan D Tisdall,2465,1,22,75,32,-43,C
Jonathan D Tisdall,2465,1,22,50,46,-4,D
Iraitz Mauleon Gutierrez,1863,1,22,136,36,-100,D
Joseba Otano Villanueva,1877,1,22,91,27,-64,C
Joseba Otano Villanueva,1877,1,22,80,23,-57,D
Ignacio Eguia Cambero,1913,1,22,50,32,-18,A
Ignacio Eguia Cambero,1913,1,22,44,32,-12,C
Ignacio Eguia Cambero,1913,1,22,52,36,-16,D
Tatiana Shumiakina,2364,1,23,70,26,-44,B
Mark E Taimanov,2406,1,23,96,48,-48,B
Maxim Kulagin,2032,1,23,85,39,-46,C
Jacob Henriksson,2161,1,23,107,26,-81,C
Per Isaksson,2106,1,23,78,48,-30,A
Per Isaksson,2106,1,23,75,48,-27,B
Per Isaksson,2106,1,23,74,48,-26,C
Per Isaksson,2106,1,23,77,48,-29,D
Valerij Popov,2547,2,23,34,57,23,C
Viacheslav Dydyshko,2510,1,23,23,65,42,B
Emir Dizdarevic,2495,1,23,49,61,12,B
Emir Dizdarevic,2495,1,23,74,61,-13,C
Emir Dizdarevic,2495,1,23,70,52,-18,D
Federico Manca,2375,1,23,90,44,-46,A
Federico Manca,2375,1,23,89,48,-41,B
Federico Manca,2375,1,23,130,39,-91,C
Federico Manca,2375,1,23,122,39,-83,D
Jiangchuan Ye,2575,1,23,72,56,-16,A
Jiangchuan Ye,2575,1,23,85,39,-46,C
Jiangchuan Ye,2575,1,23,92,39,-53,D
Spyridon Skembris,2525,1,23,52,52,0,A
Spyridon Skembris,2525,1,23,46,61,15,D
Ilia Smirin,2615,1,23,50,52,2,A
Ilia Smirin,2615,1,23,36,56,20,B
Ilia Smirin,2615,1,23,38,52,14,C
Ilia Smirin,2615,1,23,34,52,18,D
Iraitz Mauleon Gutierrez,1863,1,23,122,39,-83,A
Iraitz Mauleon Gutierrez,1863,1,23,146,39,-107,B
Iraitz Mauleon Gutierrez,1863,1,23,114,44,-70,C
Joseba Otano Villanueva,1877,1,23,119,17,-102,A
Joseba Otano Villanueva,1877,1,23,104,22,-82,B
Emilio Duran Fernandez,1799,1,23,50,48,-2,A
Emilio Duran Fernandez,1799,1,23,62,44,-18,C
Emilio Duran Fernandez,1799,1,23,52,48,-4,D
Josef Ask,2128,1,24,106,17,-89,C
Olli Sisatto,2207,1,24,46,62,16,A
Olli Sisatto,2207,1,24,55,50,-5,B
Olli Sisatto,2207,1,24,45,46,1,C
Olli Sisatto,2207,1,24,48,50,2,D
Ruslan Shcherbakov,2564,1,24,36,67,31,B
Miguel Illescas Cordoba,2590,1,24,28,62,34,B
Emir Dizdarevic,2495,1,24,64,54,-10,A
Constantin Ionescu,2465,1,24,46,50,4,A
Constantin Ionescu,2465,1,24,32,58,26,B
Constantin Ionescu,2465,1,24,38,46,8,C
Constantin Ionescu,2465,1,24,42,46,4,D
Eric Prie,2516,1,24,32,42,10,B
Irina Tetenkina,2292,1,25,60,56,-4,B
Lars Persson,2108,1,25,28,64,36,B
Hakan Hansson,2163,1,25,125,32,-93,A
Hakan Hansson,2163,1,25,113,44,-69,D
Mikael Naslund,2310,1,25,39,56,17,B
David Nygren,2158,1,25,93,36,-57,A
David Nygren,2158,1,25,84,36,-48,D
Einar Gausel,2505,1,25,29,68,39,A
Einar Gausel,2505,1,25,24,64,40,C
Einar Gausel,2505,1,25,25,64,39,D
Julio E Granda Zuniga,2620,1,25,58,48,-10,A
Julio E Granda Zuniga,2620,1,25,42,60,18,C
Julio E Granda Zuniga,2620,1,25,42,64,22,D
Petar Popovic,2530,1,25,27,68,41,B
Axel Roviralta Montero,2061,1,25,80,32,-48,D
Michael De Verdier,2147,1,26,93,50,-43,B
Pablo San Segundo Carrillo,2485,1,26,48,69,21,A
Pablo San Segundo Carrillo,2485,1,26,34,65,31,B
Pablo San Segundo Carrillo,2485,1,26,65,58,-7,C
Pablo San Segundo Carrillo,2485,1,26,75,50,-25,D
Alon Greenfeld,2610,1,26,36,69,33,A
Alon Greenfeld,2610,1,26,30,73,43,B
Alon Greenfeld,2610,1,26,32,65,33,C
Alon Greenfeld,2610,1,26,28,69,41,D
Valery A Loginov,2510,1,26,51,50,-1,D
Fernando Lopez Gracia,2348,2,26,29,58,29,B
Erik Norberg,2166,1,27,80,48,-32,A
Erik Norberg,2166,1,27,82,48,-34,B
Erik Norberg,2166,1,27,82,48,-34,C
Erik Norberg,2166,1,27,85,48,-37,D
Emil Hermansson,2370,1,27,58,52,-6,C
Erik Alquist,2106,1,27,57,56,-1,C
Erik Alquist,2106,1,27,64,56,-8,D
Joel Akesson,2344,1,27,41,37,-4,B
Torbjorn Glimbrant,2275,1,27,84,30,-54,A
Torbjorn Glimbrant,2275,1,27,93,33,-60,B
Torbjorn Glimbrant,2275,1,27,75,37,-38,C
Torbjorn Glimbrant,2275,1,27,80,37,-43,D
Evgenij Gajsin,2404,1,27,24,67,43,B
Margeir Petursson,2540,1,27,24,70,46,A
Margeir Petursson,2540,1,27,32,56,24,B
Margeir Petursson,2540,1,27,32,59,27,C
Margeir Petursson,2540,1,27,34,56,22,D
Jan H Timman,2635,1,27,73,48,-25,B
Valery A Loginov,2510,1,27,64,44,-20,A
Valery A Loginov,2510,1,27,70,48,-22,C
Jordi Magem Badals,2520,1,27,20,59,39,A
Jordi Magem Badals,2520,1,27,33,56,23,B
Jordi Magem Badals,2520,1,27,33,59,26,C
Jordi Magem Badals,2520,1,27,29,56,27,D
Axel Roviralta Montero,2061,1,27,110,26,-84,A
Axel Roviralta Montero,2061,1,27,109,26,-83,B
Axel Roviralta Montero,2061,1,27,112,30,-82,C
Erik Alquist,2106,1,28,81,61,-20,A
Evgeny Gleizerov,2592,1,28,32,57,25,B
Dmitry Bocharov,2567,1,28,27,61,34,B
Evgeny E. Vorobiov,2552,2,28,61,43,-18,B
Michael Mattsson,2048,1,29,51,45,-6,A
Michael Mattsson,2048,1,29,60,48,-12,C
Michael Mattsson,2048,1,29,61,48,-13,D
Marek Matlak,2490,1,29,56,48,-8,A
Marek Matlak,2490,1,29,44,48,4,B
Marek Matlak,2490,1,29,43,45,2,C
Marek Matlak,2490,1,29,42,45,3,D
Raouf Gadjily,2260,1,29,61,41,-20,A
Raouf Gadjily,2260,1,29,50,48,-2,B
Raouf Gadjily,2260,1,29,49,41,-8,C
Raouf Gadjily,2260,1,29,54,38,-16,D
Walter Wittmann,2390,1,29,79,48,-31,B
Walter Wittmann,2390,1,29,93,52,-41,C
Walter Wittmann,2390,1,29,94,55,-39,D
Mikhail Rytshagov,2460,1,29,41,72,31,B
Mika Karttunen,2413,1,30,14,70,56,C
Armin Namini,2114,1,30,79,37,-42,B
Armin Namini,2114,1,30,83,43,-40,C
Armin Namini,2114,1,30,76,37,-39,D
Magnus Holm,2247,1,30,53,60,7,A
Magnus Holm,2247,1,30,62,50,-12,B
Magnus Holm,2247,1,30,65,57,-8,C
Magnus Holm,2247,1,30,76,57,-19,D
Inna Agrest,2121,1,30,73,60,-13,A
Inna Agrest,2121,1,30,108,60,-48,C
Inna Agrest,2121,1,30,97,63,-34,D
Love Janse,2127,1,30,38,47,9,A
Love Janse,2127,1,30,32,53,21,C
Love Janse,2127,1,30,35,50,15,D
Alexei Shirov,2710,2,30,45,43,-2,B
Darius Ruzele,2495,1,30,48,60,12,B
Walter Wittmann,2390,1,30,76,50,-26,A
Anh Dung Nguyen,2340,1,30,54,50,-4,A
Anh Dung Nguyen,2340,1,30,41,50,9,B
Anh Dung Nguyen,2340,1,30,46,50,4,C
Anh Dung Nguyen,2340,1,30,35,63,28,D
Andrei Istratescu,2515,1,30,55,57,2,B
Mariano De Pablos Fernandez,2025,1,30,116,33,-83,A
Mariano De Pablos Fernandez,2025,1,30,112,33,-79,B
Mariano De Pablos Fernandez,2025,1,30,108,40,-68,C
Mariano De Pablos Fernandez,2025,1,30,108,37,-71,D
Adrian Leranoz Zabalza,2061,1,30,88,50,-38,B
Axel Ornstein,2426,1,31,40,48,8,B
Armin Namini,2114,1,31,99,36,-63,A
Robin Edlund,2174,1,31,39,48,9,A
Robin Edlund,2174,1,31,55,39,-16,D
Vladislav Tkachiev,2645,2,31,59,55,-4,C
Vladislav Tkachiev,2645,2,31,53,55,2,D
Boris Gelfand,2685,1,31,38,48,10,B
Lubomir Ftacnik,2570,1,31,29,52,23,A
Lubomir Ftacnik,2570,1,31,26,52,26,D
Gennadi Zaichik,2530,1,31,50,45,-5,A
Gennadi Zaichik,2530,1,31,40,55,15,B
Gennadi Zaichik,2530,1,31,42,45,3,C
Gennadi Zaichik,2530,1,31,42,48,6,D
Valerij Popov,2568,1,32,38,62,24,B
Johan Norberg,2153,1,32,134,47,-87,B
Mikko Niemi,2178,1,32,56,53,-3,B
Amir Tadjerbashi,2184,1,32,56,44,-12,A
Amir Tadjerbashi,2184,1,32,52,41,-11,C
Amir Tadjerbashi,2184,1,32,54,38,-16,D
Vladislav Tkachiev,2645,2,32,79,47,-32,A
Vladislav Tkachiev,2645,2,32,92,44,-48,B
Reynaldo Vera Gonzalez-Quevedo,2485,1,32,58,50,-8,A
Reynaldo Vera Gonzalez-Quevedo,2485,1,32,47,53,6,C
Reynaldo Vera Gonzalez-Quevedo,2485,1,32,53,56,3,D
Sergei Tiviakov,2480,1,32,27,62,35,B
Grigory Serper,2420,1,32,86,38,-48,A
Grigory Serper,2420,1,32,40,41,1,B
Grigory Serper,2420,1,32,52,38,-14,C
Grigory Serper,2420,1,32,47,38,-9,D
Vasily Yemelin,2520,1,32,77,50,-27,A
Vasily Yemelin,2520,1,32,80,47,-33,B
Vasily Yemelin,2520,1,32,94,44,-50,C
Vasily Yemelin,2520,1,32,96,47,-49,D
Peter Bjarnehag,2197,1,33,45,42,-3,A
Peter Bjarnehag,2197,1,33,49,42,-7,B
Peter Bjarnehag,2197,1,33,40,46,6,C
Peter Bjarnehag,2197,1,33,42,39,-3,D
Lasha Janjghava,2500,1,33,64,58,-6,B
Maxim Kulagin,2032,2,34,108,32,-76,A
Maxim Kulagin,2032,2,34,108,32,-76,D
Kezli Ong,2171,1,34,17,65,48,C
Evgeny Alekseev,2616,1,34,64,44,-20,B
Valeri Yandemirov,2494,1,34,86,41,-45,B
Ernesto Inarkiev,2595,1,34,14,53,39,B
Christopher Lutz,2580,1,34,63,47,-16,A
Christopher Lutz,2580,1,34,63,44,-19,B
Christopher Lutz,2580,1,34,67,47,-20,C
Christopher Lutz,2580,1,34,52,53,1,D
Hicham Hamdouchi,2530,1,34,56,53,-3,A
Hicham Hamdouchi,2530,1,34,52,59,7,D
Boris F Gulko,2590,1,34,78,47,-31,B
Oleg Korneev,2657,1,34,16,74,58,B
Alfonso Llorente Zaro,2419,1,34,20,65,45,B
Gregorio Sola Plaza,2102,1,34,75,44,-31,B
Elizabeth Riera Morilla,1983,1,34,50,41,-9,A
Elizabeth Riera Morilla,1983,1,34,56,44,-12,C
Elizabeth Riera Morilla,1983,1,34,58,41,-17,D
Mikael Naslund,2310,2,35,29,63,34,A
Mikael Naslund,2310,2,35,37,69,32,B
Mikael Naslund,2310,2,35,36,69,33,C
Mikael Naslund,2310,2,35,41,60,19,D
Henrik Lindberg,2218,1,35,35,63,28,B
Rasmus Holving,2210,1,35,46,43,-3,B
Juan Manuel Bellon Lopez,2455,1,35,38,46,8,B
Arto Satonen,2215,1,35,52,46,-6,A
Arto Satonen,2215,1,35,57,43,-14,C
Arto Satonen,2215,1,35,45,54,9,D
Viktoria Johansson,2203,1,35,40,40,0,D
Kent Angskog,2271,2,35,72,34,-38,B
Tatiana Kosintseva,2492,1,35,66,54,-12,B
Espen Agdestein,2330,1,35,51,54,3,D
Sune Berg Hansen,2440,1,35,69,43,-26,A
Sune Berg Hansen,2440,1,35,58,46,-12,B
Sune Berg Hansen,2440,1,35,73,43,-30,C
Sune Berg Hansen,2440,1,35,67,43,-24,D
Kevin Spraggett,2530,1,35,34,51,17,A
Kevin Spraggett,2530,1,35,31,57,26,C
Kevin Spraggett,2530,1,35,33,54,21,D
Vadim Zvjaginsev,2585,1,35,23,60,37,A
Vadim Zvjaginsev,2585,1,35,18,66,48,C
Vadim Zvjaginsev,2585,1,35,20,54,34,D
Edvins Kengis,2580,1,35,41,54,13,C
Edvins Kengis,2580,1,35,32,49,17,D
Antonio Lisarri Tomas,1961,2,35,76,37,-39,A
Antonio Lisarri Tomas,1961,2,35,71,43,-28,C
Antonio Lisarri Tomas,1961,2,35,68,46,-22,D
Sergio Anguas Fanlo,2048,1,35,46,49,3,A
Sergio Anguas Fanlo,2048,1,35,45,46,1,B
Sergio Anguas Fanlo,2048,1,35,51,51,0,C
Sergio Anguas Fanlo,2048,1,35,52,43,-9,D
Erno Dede,2275,1,36,145,56,-89,B
Viktoria Johansson,2203,1,36,46,42,-4,A
Viktoria Johansson,2203,1,36,35,50,15,B
Viktoria Johansson,2203,1,36,41,44,3,C
Espen Agdestein,2330,1,36,72,42,-30,A
Espen Agdestein,2330,1,36,57,44,-13,B
Espen Agdestein,2330,1,36,70,44,-26,C
Vadim Milov,2565,1,36,44,42,-2,A
Vadim Milov,2565,1,36,31,50,19,B
Vadim Milov,2565,1,36,36,58,22,C
Vadim Milov,2565,1,36,37,56,19,D
Edvins Kengis,2580,1,36,35,56,21,A
Smbat G Lputian,2590,1,36,68,39,-29,A
Smbat G Lputian,2590,1,36,58,39,-19,B
Smbat G Lputian,2590,1,36,54,44,-10,C
Smbat G Lputian,2590,1,36,54,42,-12,D
Viktoria Bashkite,2138,1,37,52,35,-17,A
Viktoria Bashkite,2138,1,37,53,38,-15,B
Viktoria Bashkite,2138,1,37,48,49,1,C
Viktoria Bashkite,2138,1,37,55,38,-17,D
Jan Peter Palmblad,2187,1,37,117,30,-87,B
Jesper Celander,2180,1,37,56,46,-10,B
Lennart Evertsson,2198,1,37,74,43,-31,B
Alexey Kuzmin,2567,1,37,39,57,18,B
Artur Yusupov,2655,2,37,77,38,-39,B
Leonid Yurtaev,2530,1,37,48,49,1,A
Leonid Yurtaev,2530,1,37,45,49,4,C
Leonid Yurtaev,2530,1,37,43,46,3,D
Lembit Oll,2475,1,37,25,70,45,B
Vladislav Nevednichy,2470,1,37,57,38,-19,A
Vladislav Nevednichy,2470,1,37,49,38,-11,B
Vladislav Nevednichy,2470,1,37,48,40,-8,C
Vladislav Nevednichy,2470,1,37,45,46,1,D
Miguel Illescas Cordoba,2620,2,37,48,65,17,B
Ahmed Tarek Fahmy Moursy,1883,1,37,54,43,-11,A
Ahmed Tarek Fahmy Moursy,1883,1,37,62,51,-11,C
Ahmed Tarek Fahmy Moursy,1883,1,37,67,51,-16,D
Tomi Nyback,2458,1,38,125,47,-78,B
Jacob Henriksson,2161,2,38,69,53,-16,A
Jacob Henriksson,2161,2,38,71,42,-29,D
Bo Adler,2208,1,38,54,55,1,B
Jon L Arnason,2525,1,38,25,63,38,B
Vidmantas Malisauskas,2510,1,38,16,63,47,A
Vidmantas Malisauskas,2510,1,38,20,58,38,B
Vidmantas Malisauskas,2510,1,38,15,66,51,C
Vidmantas Malisauskas,2510,1,38,12,68,56,D
Joel Lautier,2645,2,38,27,58,31,B
Amador Rodriguez Cepedes,2515,1,38,19,71,52,A
Amador Rodriguez Cepedes,2515,1,38,19,68,49,B
Amador Rodriguez Cepedes,2515,1,38,21,71,50,C
Amador Rodriguez Cepedes,2515,1,38,22,63,41,D
Viktor Bologan,2600,1,38,20,58,38,A
Viktor Bologan,2600,1,38,22,60,38,B
Viktor Bologan,2600,1,38,28,53,25,C
Viktor Bologan,2600,1,38,27,58,31,D
Igor Miladinovic,2350,1,38,39,53,14,A
Igor Miladinovic,2350,1,38,37,50,13,B
Igor Miladinovic,2350,1,38,35,50,15,C
Igor Miladinovic,2350,1,38,42,47,5,D
Javier Ignacio Esparza Martinez,2047,1,38,36,63,27,A
Javier Ignacio Esparza Martinez,2047,1,38,44,60,16,C
Javier Ignacio Esparza Martinez,2047,1,38,51,55,4,D
Felix Nordstrom,2176,2,39,79,36,-43,A
Felix Nordstrom,2176,2,39,71,46,-25,C
Felix Nordstrom,2176,2,39,64,49,-15,D
Pontus Carlsson,2501,2,39,60,41,-19,B
Erling Mortensen,2500,1,39,48,56,8,B
Iker Iraneta Unzue,1812,1,39,29,59,30,B
Viktoria Johansson,2142,1,40,60,52,-8,B
Peter Carlsten,2159,1,40,69,32,-37,B
Peter Carlsten,2159,1,40,80,25,-55,C
Olav Sepp,2470,1,40,81,40,-41,A
Olav Sepp,2470,1,40,72,38,-34,B
Olav Sepp,2470,1,40,67,35,-32,C
Olav Sepp,2470,1,40,67,40,-27,D
Jamshed Isaev,2380,1,40,66,40,-26,A
Jamshed Isaev,2380,1,40,50,40,-10,B
Jamshed Isaev,2380,1,40,44,38,-6,C
Jamshed Isaev,2380,1,40,44,38,-6,D
Alejandra Porras Mateo,1875,2,40,142,35,-107,A
Alejandra Porras Mateo,1875,2,40,116,37,-79,B
Alejandra Porras Mateo,1875,2,40,112,45,-67,C
Alejandra Porras Mateo,1875,2,40,116,48,-68,D
Antonio Labena Bernal,2003,1,40,45,50,5,B
Christian Bauer,2585,1,40,15,65,50,C
Lars Persson,2108,2,41,78,51,-27,A
Lars Persson,2108,2,41,78,49,-29,C
Lars Persson,2108,2,41,70,54,-16,D
Anneli Dalmau,2089,2,41,108,49,-59,A
Anneli Dalmau,2089,2,41,98,51,-47,D
Terry Toh,2300,1,41,57,37,-20,D
Nasib Ginting,2395,1,41,58,51,-7,D
David Arjol Echeverria,2073,1,41,74,51,-23,B
Denis Khismatullin,2537,1,42,55,74,19,B
Sergey Ivanov,2546,1,42,34,36,2,B
Vladimir Dimitrov,2475,1,42,26,64,38,A
Vladimir Dimitrov,2475,1,42,42,60,18,B
Vladimir Dimitrov,2475,1,42,40,67,27,C
Vladimir Dimitrov,2475,1,42,41,67,26,D
Nasib Ginting,2395,1,42,64,50,-14,B
Nasib Ginting,2395,1,42,59,64,5,C
Jonas Barkhagen,2458,2,43,26,67,41,B
Haroon Azizi,2126,2,43,86,46,-40,D
Alain Spielmann,2308,1,43,24,67,43,B
Terry Toh,2300,1,43,42,54,12,A
Terry Toh,2300,1,43,42,44,2,B
Terry Toh,2300,1,43,47,49,2,C
Pablo Ricardi,2495,1,43,29,46,17,A
Pablo Ricardi,2495,1,43,27,54,27,B
Pablo Ricardi,2495,1,43,26,63,37,C
Pablo Ricardi,2495,1,43,30,56,26,D
Nasib Ginting,2395,1,43,81,51,-30,A
Ivan Salgado Lopez,2425,1,43,24,63,39,B
Alexander Morozevich,2747,2,43,35,63,28,B
Aleksa Strikovic,2535,2,43,37,49,12,B
Ralph Hallerod,2105,2,44,109,34,-75,A
Ralph Hallerod,2105,2,44,120,30,-90,B
Ralph Hallerod,2105,2,44,112,30,-82,C
Ralph Hallerod,2105,2,44,116,36,-80,D
Christopher Lissang,2080,1,44,36,52,16,B
Denis Yevseev,2580,1,44,32,54,22,B
Andrei Belozerov,2552,1,44,24,54,30,B
Valery A Loginov,2516,1,44,27,57,30,B
Joel Benjamin,2610,1,44,46,54,8,D
Haroon Azizi,2126,2,45,91,33,-58,A
Hannes Stefansson,2566,2,45,16,67,51,C
Mikael Jonsson,2290,1,45,89,51,-38,D
Evgenij Agrest,2535,3,45,36,40,4,B
Erik Blomqvist,2302,2,45,37,60,23,B
Johan Furhoff,2392,1,45,59,44,-15,B
Joel Benjamin,2610,1,45,49,51,2,A
Joel Benjamin,2610,1,45,55,44,-11,C
Daniel H. Campora,2560,1,45,26,62,36,D
Heikki M. J. Westerinen,2370,1,45,27,51,24,C
Heikki M. J. Westerinen,2370,1,45,25,49,24,D
Alex Yermolinsky,2590,1,45,17,53,36,C
Alex Yermolinsky,2590,1,45,17,60,43,D
Mikael Jonsson,2290,1,46,94,46,-48,A
Kevin Ong,2076,1,46,39,56,17,C
Kevin Ong,2076,1,46,44,54,10,D
Alexander Riazantsev,2556,1,46,38,56,18,B
Daniel H. Campora,2560,1,46,32,59,27,C
Alex Yermolinsky,2590,1,46,13,65,52,B
Walter Arencibia Rodriguez,2480,1,46,19,59,40,A
Walter Arencibia Rodriguez,2480,1,46,21,54,33,B
Walter Arencibia Rodriguez,2480,1,46,23,61,38,C
Walter Arencibia Rodriguez,2480,1,46,23,59,36,D
Mikel Huerga Leache,2315,2,46,52,63,11,B
Harriet V Hunt,2389,1,47,20,64,44,C
Kevin Ong,2076,1,47,73,45,-28,A
Fredrik Andersson,2229,2,47,101,32,-69,B
Simon Hanninger,2129,1,47,30,49,19,B
Vladimir P Malaniuk,2610,2,47,71,47,-24,A
Vladimir P Malaniuk,2610,2,47,70,49,-21,B
Vladimir P Malaniuk,2610,2,47,74,47,-27,C
Vladimir P Malaniuk,2610,2,47,71,47,-24,D
Lars Bo Hansen,2545,2,47,36,51,15,B
Alexander Morozevich,2575,2,47,43,60,17,C
Vladimir Kramnik,2725,1,47,21,64,43,B
Daniel H. Campora,2560,1,47,39,55,16,A
Heikki M. J. Westerinen,2370,1,47,33,43,10,A
Heikki M. J. Westerinen,2370,1,47,27,40,13,B
Alex Yermolinsky,2590,1,47,17,62,45,A
Pontus Carlsson,2501,3,48,48,56,8,C
Teodor Hellborg,2240,1,49,32,59,27,B
Tomi Nyback,2579,1,49,24,55,31,B
Marc Santo-Roman,2420,2,49,62,59,-3,A
Marc Santo-Roman,2420,2,49,49,61,12,B
Marc Santo-Roman,2420,2,49,69,55,-14,C
Marc Santo-Roman,2420,2,49,69,59,-10,D
Andrei Istratescu,2515,2,49,50,59,9,A
